corpus,task,trial,category,agent_evidence,artifact_verifier_evidence,counterfactual
python,igel-persist-feature-schema,luna_1,obligation_model,"M3 described aliases and inference, but never represented ordered include/exclude composition.","The patch prohibited include/exclude overlap; 18/24 feature checks failed.","Stating that exclude filters the ordered include candidates would change validation and tests."
python,igel-persist-feature-schema,luna_2,implementation,"M2-M3 explicitly identified swallowed preparation errors and said evaluate/predict errors must propagate.","The patch attempted that shared boundary, but public evaluation/prediction wrappers still swallowed or replaced the schema error; 6 checks failed.","Restating propagation adds no new path; the attempted wiring was defective."
python,igel-persist-feature-schema,luna_3,obligation_model,"M2-M4 modeled selection and aliases but never represented include/exclude composition.","The patch prohibited overlap and consequently failed the shared fit setup; 18 checks failed.","The missing composition obligation changes validation, patch logic, and tests."
python,igel-persist-feature-schema,luna_4,obligation_model,"M1-M6 discussed fit/evaluate/predict and claimed clustering support, but never identified the concrete fit_cluster lifecycle token.","The patch built a schema only for fit; the clustering fit path failed one feature check.","Naming fit_cluster as a separate required execution path adds actionable scope."
python,igel-persist-feature-schema,terra_1,obligation_model,"M2 said one shared fit/evaluate/predict layer, but did not model operation-specific target requirements.","The patch required training targets in prediction inputs; 11 feature checks failed.","Stating that prediction omits target columns changes the per-operation schema plan."
python,igel-persist-feature-schema,terra_3,obligation_model,"M4 deliberately changed default artifact-path resolution to invocation time.","The patch overwrote caller/fixture path overrides and failed 18 feature checks.","The omitted invariant that explicit instance paths retain ownership changes the patch."
python,igel-persist-feature-schema,terra_4,obligation_model,"M2-M3 covered evaluate generically and alias errors, but no negative evaluate boundary was represented.","Evaluate caught/logged a schema conflict without re-raising it; one check failed.","An explicit evaluate-error propagation obligation adds a public-path test and edit."
python,igel-persist-feature-schema,sol_1,obligation_model,"M3-M6 covered schema validation broadly but did not distinguish omitted, null, and empty optional fields.","The patch treated explicit exclude: null as invalid; one check failed.","The missing null-normalization obligation changes validation and boundary tests."
python,igel-persist-feature-schema,sol_4,obligation_model,"M3-M5 modeled persisted authority but did not represent preservation of explicitly injected artifact paths.","Default-value equality was used as provenance and explicit overrides were replaced; 18 checks failed.","Stating the path-ownership invariant changes both path resolution and tests."
python,textual-kitty-key-phases,luna_1,obligation_model,"M3-M4 claimed stable event metadata, but authored expectations assigned the wrong public identity/character semantics.","Functional keys gained printable characters and shifted alternate metadata replaced the required base/alias behavior; 4 checks failed.","A public-event field matrix would change expected values, patch logic, and tests."
python,textual-kitty-key-phases,luna_2,implementation,"M3-M4 explicitly targeted Kitty wire forms and claimed press/repeat/release checks passed.","The modifier field was still converted as one integer, so colon phase forms raised ValueError; 2 checks failed.","The phase obligation and path were already represented; the parser decomposition was faulty."
python,textual-kitty-key-phases,luna_3,obligation_model,"M3 mentioned phase metadata, but the plan/tests never represented modifier[:phase] as a grammar production.","Colon-phase CSI sequences fell through into multiple character events; 2 checks failed.","Stating the concrete grammar production adds actionable parser and event-count coverage."
python,textual-kitty-key-phases,terra_1,obligation_model,"M3 claimed coverage, but its authored expectations normalized shifted text and legacy identities incorrectly.","Shifted text, key-code zero, and legacy Alt behavior failed four semantic checks.","Correct public-object obligations change the expected event and implementation."
python,textual-kitty-key-phases,terra_2,mixed,"M3-M4 explicitly represented phase, shifted printable, alternate aliases, and associated text, but did not identify key-code zero as a sentinel.","Implemented paths still failed colon phases/shift/alias mechanically, while key-code-zero behavior was absent; 6 checks failed.","Restating known dimensions adds no information, but stating the zero sentinel does."
python,textual-kitty-key-phases,terra_3,obligation_model,"M3 claimed metadata coverage, but the patch/tests encoded an incorrect mapping from parsed fields to public Key semantics.","Functional names became characters, shifted text was lost, and associated text was misread; 6 checks failed.","A correct public-event obligation matrix changes implementation expectations."
python,textual-kitty-key-phases,terra_4,obligation_model,"M2-M3 represented phases/alternates generally but omitted distinct colon-phase, alias, and zero-code productions.","Those separate grammar/public paths account for four failed checks.","Enumerating the missing productions changes parser scope and tests."
python,textual-kitty-key-phases,sol_4,implementation,"M4 and M8 explicitly named key-code 0 and claimed it passed along with associated text.","The primary-code-zero CSI form still fell through to character fallback; one check failed.","The exact condition was already represented; matcher/parser construction was defective."
python,ipython-session-bundle-replay,luna_1,obligation_model,"M3-M6 said failures were exercised, but treated replay failure as an exception rather than an ExecutionResult state.","stop_on_error leaked ZeroDivisionError; one feature check failed.","The missing result-based failure obligation changes replay control flow and its test."
python,ipython-session-bundle-replay,luna_3,obligation_model,"M3-M5 modeled replay and magic broadly, but omitted shell tokenization and treated failed cells as escaping exceptions.","Quoted paths/redactions and stop_on_error failed four checks.","Explicit shlex and result-based replay obligations change both parser and replay plans."
python,ipython-session-bundle-replay,luna_4,obligation_model,"M4 claimed failed-cell support but authored no failing replay control-flow test.","Replay still leaked the cell exception under stop_on_error; one check failed.","Stating that failure is returned as data adds actionable control-flow coverage."
python,ipython-session-bundle-replay,terra_3,implementation,"M2-M3 explicitly distinguished expression results from explicit stream writes and claimed print capture worked.","The chosen post-run inspection could not recover stdout emitted during execution; one check failed.","The exact output-channel obligation was known; capture wiring was incorrect."
python,fastapi-implicit-head-options,luna_1,implementation,"M5-M6 explicitly tested repeated inclusion, OpenAPI parity, and middleware isolation/statistics.","Shared router state still leaked, middleware accounting was disconnected, and OpenAPI regressed; 8 F2P and 10 P2P checks failed.","The relevant paths/invariants were already enumerated; their realization was defective."
python,fastapi-implicit-head-options,luna_2,implementation,"M1 and M6 explicitly made documented Annotated signatures a verification target.","One or more new public parameters lacked the required documentation form; one check failed.","Restating the signature obligation adds no scope; a mechanical signature edit was missed."
