instance_id,repo,language_group,base_commit,query_chars,target_blocks,candidate_span_coverage,bm25/span_recall@1,bm25/span_recall@5,bm25/span_recall@10,bm25/file_recall@5,bm25/span_mrr,Qwen/Qwen3-Reranker-0.6B/span_recall@1,Qwen/Qwen3-Reranker-0.6B/span_recall@5,Qwen/Qwen3-Reranker-0.6B/span_recall@10,Qwen/Qwen3-Reranker-0.6B/file_recall@5,Qwen/Qwen3-Reranker-0.6B/span_mrr,Qwen/Qwen3-Reranker-0.6B/rerank_mean_ms,Qwen/Qwen3-Reranker-0.6B/failed_observations,Qwen/Qwen3-Reranker-4B/span_recall@1,Qwen/Qwen3-Reranker-4B/span_recall@5,Qwen/Qwen3-Reranker-4B/span_recall@10,Qwen/Qwen3-Reranker-4B/file_recall@5,Qwen/Qwen3-Reranker-4B/span_mrr,Qwen/Qwen3-Reranker-4B/rerank_mean_ms,Qwen/Qwen3-Reranker-4B/failed_observations,Qwen/Qwen3-Reranker-8B/span_recall@1,Qwen/Qwen3-Reranker-8B/span_recall@5,Qwen/Qwen3-Reranker-8B/span_recall@10,Qwen/Qwen3-Reranker-8B/file_recall@5,Qwen/Qwen3-Reranker-8B/span_mrr,Qwen/Qwen3-Reranker-8B/rerank_mean_ms,Qwen/Qwen3-Reranker-8B/failed_observations,typesafe/jev-1.13/span_recall@1,typesafe/jev-1.13/span_recall@5,typesafe/jev-1.13/span_recall@10,typesafe/jev-1.13/file_recall@5,typesafe/jev-1.13/span_mrr,typesafe/jev-1.13/rerank_mean_ms,typesafe/jev-1.13/failed_observations
astral-sh__ruff-15309,astral-sh/ruff,Rust,75a24bbc67aa31b825b6326cfb6e6afdf3ca90d5,334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.3040811866522,0,0.0,0.0,0.0,0.0,0.0,1594.9372984468937,0,0.0,0.0,0.0,0.0,0.0,2251.268183812499,0,0.0,0.0,0.0,0.0,0.0,1441.7187552899122,0
astral-sh__ruff-15330,astral-sh/ruff,Rust,b2a0d68d70ee690ea871fe9b3317be43075ddb33,1038,2,1.0,0.0,0.5,1.0,1.0,0.5,0.0,1.0,1.0,1.0,0.5,1304.7514338977635,0,0.5,1.0,1.0,1.0,1.0,3990.3918942436576,0,0.0,1.0,1.0,1.0,0.5,5566.512115299702,0,0.5,0.5,1.0,1.0,1.0,1450.7417101413012,0
astral-sh__ruff-15356,astral-sh/ruff,Rust,ee9a912f47e64de13cad0b525a714b46c5e29293,2068,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1467.7709420211613,0,0.0,0.0,0.0,0.0,0.0,4548.733454197645,0,0.0,0.0,0.0,0.0,0.0,6159.276265185326,0,0.0,0.0,0.0,0.0,0.0,1340.0941425934434,0
astral-sh__ruff-15443,astral-sh/ruff,Rust,d1666fbbeec27fe534f261f388fbd5891546ffcf,1252,2,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.125,704.0151241235435,0,0.5,1.0,1.0,1.0,1.0,2206.604723352939,0,0.0,1.0,1.0,1.0,0.5,3126.8259454518557,0,0.5,1.0,1.0,1.0,1.0,1502.3981621488929,0
astropy__astropy-12907,astropy/astropy,Python,d16bfe05a744909de4b27f5875fe0d4ed41ce607,1246,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,691.7911767959595,0,0.0,0.0,0.0,1.0,0.0,2170.039738062769,0,0.0,0.0,0.0,1.0,0.0,3089.044926222414,0,0.0,0.0,0.0,1.0,0.0,1505.209299735725,0
astropy__astropy-13033,astropy/astropy,Python,298ccb478e6bf092953bca67a3d29dc6c35f6752,2790,1,1.0,0.0,0.0,0.0,0.0,0.058823529411764705,1.0,1.0,1.0,1.0,1.0,1124.678639229387,0,1.0,1.0,1.0,1.0,1.0,3411.612226627767,0,1.0,1.0,1.0,1.0,1.0,4695.658307056874,0,1.0,1.0,1.0,1.0,1.0,1536.7000214755535,0
astropy__astropy-13236,astropy/astropy,Python,6ed769d58d89380ebaa1ef52b300691eefda8928,2057,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,872.1369337290525,0,1.0,1.0,1.0,1.0,1.0,2713.3712442591786,0,1.0,1.0,1.0,1.0,1.0,3826.9017608836293,0,1.0,1.0,1.0,1.0,1.0,1592.872703447938,0
astropy__astropy-13579,astropy/astropy,Python,0df94ff7097961e92fd7812036a24b145bc13ca8,4822,1,1.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.0,1.0,1.0,1.0,0.5,1832.3129317723215,0,1.0,1.0,1.0,1.0,1.0,5538.431074470282,0,1.0,1.0,1.0,1.0,1.0,7538.481850642711,0,1.0,1.0,1.0,1.0,1.0,1429.2076984420419,0
axios__axios-4731,axios/axios,TypeScript/JavaScript,c30252f685e8f4326722de84923fcbc8cf557f06,1445,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,652.6807202026248,0,1.0,1.0,1.0,1.0,1.0,1919.2811790853739,0,1.0,1.0,1.0,1.0,1.0,2729.4713873416185,0,1.0,1.0,1.0,1.0,1.0,1471.9510059803724,0
axios__axios-4738,axios/axios,TypeScript/JavaScript,9bb016f95e6de871a44f3276fd06562704a0abb0,2264,1,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.08333333333333333,756.3330382108688,0,0.0,1.0,1.0,1.0,0.5,2335.512879304588,0,1.0,1.0,1.0,1.0,1.0,3315.5279038473964,0,1.0,1.0,1.0,1.0,1.0,1479.4961605221033,0
