corpus,task,trial,reward_attribution,f2p_normative,f2p_implementation,f2p_measurement,p2p_normative,p2p_implementation,rationale
python,igel-persist-feature-schema,luna_1,normative,18,0,0,0,0,"Invented an include/exclude overlap prohibition."
python,igel-persist-feature-schema,luna_2,implementation,0,6,0,0,0,"Schema validation was correct but public operations swallowed or replaced its errors."
python,igel-persist-feature-schema,luna_3,normative,18,0,0,0,0,"Invented an include/exclude overlap prohibition."
python,igel-persist-feature-schema,luna_4,implementation,0,1,0,0,0,"Fit schema handling was not applied to the distinct clustering lifecycle."
python,igel-persist-feature-schema,terra_1,normative,11,0,0,0,0,"Assumed prediction inputs must contain training target columns."
python,igel-persist-feature-schema,terra_3,implementation,0,18,0,0,0,"Overwrote caller-provided artifact paths while trying to satisfy persistence."
python,igel-persist-feature-schema,terra_4,implementation,0,1,0,0,0,"Evaluate detected the conflict but failed to propagate it."
python,igel-persist-feature-schema,sol_1,normative,1,0,0,0,0,"Treated explicit null for an optional exclusion as invalid."
python,igel-persist-feature-schema,sol_4,implementation,0,18,0,0,0,"Used default-value equality as provenance and overwrote explicit path overrides."
python,textual-kitty-key-phases,luna_1,normative,4,0,0,0,0,"Mapped functional and shifted-alternate events to the wrong public identity and text semantics."
python,textual-kitty-key-phases,luna_2,implementation,0,2,0,0,0,"Failed to decompose modifier and phase fields in the protocol parser."
python,textual-kitty-key-phases,luna_3,implementation,0,2,0,0,0,"Colon-phase sequences fell through to character fallback."
python,textual-kitty-key-phases,terra_1,normative,4,0,0,0,0,"Chose incorrect shifted-character, zero-code, and legacy Alt identities."
python,textual-kitty-key-phases,terra_2,implementation,0,6,0,0,0,"Implemented only selected protocol dimensions and omitted the rest."
python,textual-kitty-key-phases,terra_3,normative,6,0,0,0,0,"Recognized syntax but intentionally mapped functional and shifted fields to incorrect public semantics."
python,textual-kitty-key-phases,terra_4,implementation,0,4,0,0,0,"Omitted grammar productions and alternate alias propagation."
python,textual-kitty-key-phases,sol_4,implementation,0,1,0,0,0,"Did not implement the key-code-zero sentinel path."
python,ipython-session-bundle-replay,luna_1,normative,1,0,0,0,0,"Interpreted stop_on_error as re-raising the cell exception."
python,ipython-session-bundle-replay,luna_3,mixed,1,3,0,0,0,"Re-raised replay failure and also used quote-unsafe magic tokenization."
python,ipython-session-bundle-replay,luna_4,normative,1,0,0,0,0,"Interpreted stop_on_error as re-raising the cell exception."
python,ipython-session-bundle-replay,terra_3,implementation,0,1,0,0,0,"Post-run inspection could not recover stdout emitted during execution."
python,fastapi-implicit-head-options,luna_1,implementation,0,8,0,0,10,"Route ownership, middleware accounting, reuse, and OpenAPI invariants were not preserved."
python,fastapi-implicit-head-options,luna_2,implementation,0,1,0,0,0,"The new public parameters were not documented across the public API."
python,fastapi-implicit-head-options,luna_3,implementation,0,9,0,0,0,"Implicit wrappers bypassed framework dispatch and propagation paths."
python,fastapi-implicit-head-options,luna_4,implementation,0,0,0,0,3,"Feature behavior passed but generated OpenAPI snapshots regressed."
